about,সম্পর্কিত,s̪ɔmpɔrkit̪,s̪ɔmpɔrkit̪
across,দিয়ে,d̪ie̯e,d̪ie̯e
adult,প্রাপ্তবয়স্ক,prapt̪ɔbe̯ɔs̪kɔ,prapt̪ɔbe̯ɔs̪kɔ
ahead,এগিয়ে,eɡie̯e,eɡie̯e
algae,শেত্তলাগুলি,ɕet̪t̪ɔl̪aɡul̪i,ɕet̪t̪ɔl̪aɡul̪i
amazing,আশ্চর্যজনক,aɕt͡ɕɔrd͡zɔd͡ʑɔn̪ɔkɔ,aɕt͡ɕɔrd͡zɔd͡ʑɔn̪ɔkɔ
anemone,বায়ুপরাগী পুষ্পবিশেষ,bae̯upraɡi puʂpɔbiɕeʂ,bae̯upraɡi puʂpɔbiɕeʂ
animal,পশু,pɔɕu,pɔɕu
ant,পিপীলিকা,pipil̪ika,pipil̪ika
apple,আপেল,apel̪,apel̪
arm,বাহু,baɦu,baɦu
art,শিল্প,ɕil̪pɔ,ɕil̪pɔ
bacterium,রোগজীবাণু,roɡd͡ʑibanu,roɡd͡ʑibanu
bamboo,বাঁশ,bãɕɔ,bãɕɔ
barnacle,রাজহংসবিশেষ,rad͡ʑɔɦɔŋs̪ɔbiɕeʂ,rad͡ʑɔɦɔŋs̪ɔbiɕeʂ
bear,ভালুক,b̤al̪uk,b̤al̪uk
beetle,পোকা,poka,poka
below,নিচে,n̪it͡ɕe,n̪it͡ɕe
between,মধ্যে,mɔd̪̤d͡ze,mɔd̪̤d͡ze
big,বিশাল,biɕal̪,biɕal̪
birth,জন্ম,d͡ʑɔn̪mɔ,d͡ʑɔn̪mɔ
bitter,তিক্ত,t̪ikt̪ɔ,t̪ikt̪ɔ
blue,নীল,n̪il̪,n̪il̪
body,শরীর,ɕɔrir,ɕɔrir
broad,প্রশস্ত,prɔɕɔs̪t̪ɔ,prɔɕɔs̪t̪ɔ
broken,ভাঙা,b̤aŋa,b̤aŋa
brown,বাদামী,bad̪ami,bad̪ami
bug,জুজু,d͡ʑud͡ʑu,d͡ʑud͡ʑu
bulrush,নলখাগড়া,n̪ɔl̪ɔkʰaɡɽa,n̪ɔl̪ɔkʰaɡɽa
burnt,দগ্ধ,d̪ɔɡɔd̪̤ɔ,d̪ɔɡɔd̪̤ɔ
bustard,*,*,*
butterfly,প্রজাপতি,prɔd͡ʑapt̪i,prɔd͡ʑapt̪i
buttocks,নিতম্ব,n̪it̪ɔmbɔ,n̪it̪ɔmbɔ
cactus,ফণীমনসা,ɸɔnimɔn̪ɔs̪a,ɸɔnimɔn̪ɔs̪a
camel,উট,ut,ut
carp,দোষারোপ করা,d̪oʂaropɔ kɔra,d̪oʂaropɔ kɔra
certain,নিশ্চিত,n̪iɕt͡ɕit̪,n̪iɕt͡ɕit̪
chest,বুক,buk,buk
chunky,গাঁট্টাগোট্টা,ɡãttaɡotta,ɡãttaɡotta
circular,বিজ্ঞপ্তি,bid͡ʑnɔpt̪i,bid͡ʑnɔpt̪i
city,শহর,ɕɔɦɔrɔ,ɕɔɦɔrɔ
claw,নখর,n̪ɔkʰɔrɔ,n̪ɔkʰɔrɔ
clean,পরিষ্কার,pɔriʂkar,pɔriʂkar
closed,বন্ধ,bɔn̪d̪̤ɔ,bɔn̪d̪̤ɔ
cockroach,তেলাপোকা,t̪el̪apoka,t̪el̪apoka
colour,রঙ,rɔŋɔ,rɔŋɔ
computer,কম্পিউটার,kɔmpiutar,kɔmpiutar
continent,মহাদেশ,mɔɦad̪eɕ,mɔɦad̪eɕ
control,নিয়ন্ত্রণ,n̪ie̯ɔn̪t̪rɔnɔ,n̪ie̯ɔn̪t̪rɔnɔ
corn,ভূট্টা,b̤utta,b̤utta
counterclockwise,বামাবর্তে,bamabɔrt̪e,bamabɔrt̪e
country,দেশ,d̪eɕ,d̪eɕ
crab,কাঁকড়া,kãkɔɽa,kãkɔɽa
cricket,ক্রিকেট,kriket,kriket
crocodile,কুম্ভীর,kumb̤ir,kumb̤ir
crystal,স্ফটিক,s̪ɸɔtik,s̪ɸɔtik
culture,সংস্কৃতি,s̪ɔŋs̪kɽit̪i,s̪ɔŋs̪kɽit̪i
cupped,cupped,cupped,cupped
damaged,ক্ষতিগ্রস্ত,kʂɔt̪iɡɔrɔs̪t̪ɔ,kʂɔt̪iɡɔrɔs̪t̪ɔ
dense,ঘন,̤ɡ̤ɔn̪ɔ,̤ɡ̤ɔn̪ɔ
derecha,অধিকার,od̪̤ikar,od̪̤ikar
descansar,থাকা,t̪ʰaka,t̪ʰaka
different,বিভিন্ন,bib̤in̪n̪ɔ,bib̤in̪n̪ɔ
earwig,কানকোটারি,kan̪kotari,kan̪kotari
east,পূর্ব,purbɔ,purbɔ
easy,সহজ,s̪ɔɦɔd͡ʑɔ,s̪ɔɦɔd͡ʑɔ
egg,ডিম,dim,dim
electricity,বিদ্যুৎ,bid̪d͡zut̪,bid̪d͡zut̪
elephant,হাতি,ɦat̪i,ɦat̪i
escama,মামড়ি,mamɽi,mamɽi
excited,উত্তেজিত,ut̪t̪ed͡ʑit̪,ut̪t̪ed͡ʑit̪
face,মুখ,mukʰ,mukʰ
faith,বিশ্বাস,biɕbas̪,biɕbas̪
familiar,পরিচিত,pɔrit͡ɕit̪,pɔrit͡ɕit̪
far,এ পর্যন্ত,e pɔrd͡zɔn̪t̪ɔ,e pɔrd͡zɔn̪t̪ɔ
fast,দ্রুত,d̪rut̪,d̪rut̪
feather,পালক,pal̪ɔkɔ,pal̪ɔkɔ
female,মহিলা,mɔɦil̪a,mɔɦil̪a
fern,পর্ণাঙ্গ,pɔrnaŋɡɔ,pɔrnaŋɡɔ
finger,আঙ্গুল,aŋɡul̪,aŋɡul̪
fire,আগুন,aɡun̪,aɡun̪
