about,acerca,aˈseɾka,aˈseɾka
across,través,tɾaˈbes,tɾaˈβes
adult,adulto,aˈdulto,aˈðulto
ahead,adelante,adeˈlante,aðeˈlante
algae,algas,ˈalɡas,ˈalɣas
amazing,increíble,inkɾeˈible,iŋkɾeˈiβle
anemone,anémona,aˈnemona,aˈnemona
animal,animal,aniˈmal,aniˈmal
ant,hormiga,oɾˈmiɡa,oɾˈmiɣa
apple,manzana,manˈsana,manˈsana
arm,brazo,ˈbɾaso,ˈbɾaso
art,arte,ˈaɾte,ˈaɾte
bacterium,bacteria,bakˈteɾja,bakˈteɾja
bamboo,bambú,bamˈbu,bamˈbu
barnacle,percebe,peɾˈsebe,peɾˈseβe
bear,oso,ˈoso,ˈoso
beetle,escarabajo,eskaɾaˈbaxo,eskaɾaˈβaxo
below,abajo,aˈbaxo,aˈβaxo
between,entre,ˈentɾe,ˈentɾe
big,grande,ˈɡɾande,ˈɡɾande
birth,nacimiento,nasiˈmjento,nasiˈmjento
blue,azul,aˈsul,aˈsul
body,cuerpo,ˈkweɾpo,ˈkweɾpo
broad,ancho,ˈant͡ʃo,ˈant͡ʃo
broken,roto,ˈroto,ˈroto
brown,marrón,maˈron,maˈron
bug,bicho,ˈbit͡ʃo,ˈbit͡ʃo
burnt,quemado,keˈmado,keˈmaðo
bustard,avutarda,abuˈtaɾda,aβuˈtaɾða
butterfly,mariposa,maɾiˈposa,maɾiˈposa
buttocks,nalgas,ˈnalɡas,ˈnalɣas
cactus,cactus,ˈkaktus,ˈkaktus
camel,camello,kaˈmeʝo,kaˈmeʝo
carp,carpa,ˈkaɾpa,ˈkaɾpa
bulrush,espadaña,espaˈdaɲa,espaˈðaɲa
certain,segure,seˈɡuɾe,seˈɣuɾe
chest,pecho,ˈpet͡ʃo,ˈpet͡ʃo
chunky,fornido,foɾˈnido,foɾˈniðo
circular,circular,siɾkuˈlar,siɾkuˈlar
city,ciudad,sjwdad,sjwðað
claw,garra,ˈɡara,ˈɡara
clean,limpia,ˈlimpja,ˈlimpja
closed,cerrado,seˈrado,seˈraðo
cockroach,cucaracha,kukaˈɾat͡ʃa,kukaˈɾat͡ʃa
colour,color,koˈlor,koˈlor
computer,computadora,komputaˈdoɾa,komputaˈðoɾa
continent,continente,kontiˈnente,kontiˈnente
control,controla,konˈtɾola,konˈtɾola
corn,maíz,maˈis,maˈis
counterclockwise,sinistrórsum,sinisˈtɾoɾsum,sinisˈtɾoɾsum
country,país,paˈis,paˈis
crab,cangrejo,kanˈɡɾexo,kanˈɡɾexo
cricket,grillo,ˈɡɾiʝo,ˈɡɾiʝo
crocodile,cocodrilo,kokodˈɾilo,kokoðˈɾilo
crystal,cristal,kɾisˈtal,kɾisˈtal
culture,cultura,kulˈtuɾa,kulˈtuɾa
cupped,ahuecado,aweˈkado,aweˈkaðo
damaged,dañado,daˈɲado,daˈɲaðo
dense,denso,ˈdenso,ˈdenso
derecha,derecha,deˈɾet͡ʃa,deˈɾet͡ʃa
descansar,descansa,desˈkansa,desˈkansa
different,diferente,difeˈɾente,difeˈɾente
earwig,tijereta,tixeˈɾeta,tixeˈɾeta
east,este,ˈeste,ˈeste
easy,fácil,ˈfasil,ˈfasil
egg,huevo,ˈwebo,ˈweβo
electricity,electricidad,elektɾisiˈdad,elektɾisiˈðað
elephant,elefante,eleˈfante,eleˈfante
escama,escama,esˈkama,esˈkama
excited,emocionado,emosjoˈnado,emosjoˈnaðo
face,cara,ˈkaɾa,ˈkaɾa
faith,fe,fe,fe
familiar,familiar,famiˈljar,famiˈljar
far,lejos,ˈlexos,ˈlexos
fast,rápido,ˈrapido,ˈrapiðo
feather,pluma,ˈpluma,ˈpluma
fern,helecho,eˈlet͡ʃo,eˈlet͡ʃo
finger,dedo,ˈdedo,ˈdeðo
fire,fuego,ˈfweɡo,ˈfweɣo
fish,pez,pes,pes
flea,pulga,ˈpulɡa,ˈpulɣa
flower,flor,flor,flor
foamy,espumoso,espuˈmoso,espuˈmoso
fowl,ave,ˈabe,ˈaβe
friendly,amable,aˈmable,aˈmaβle
fruit,fruta,ˈfɾuta,ˈfɾuta
full,completo,komˈpleto,komˈpleto
fun,divertido,dibeɾˈtido,diβeɾˈtiðo
fungus,hongo,ˈonɡo,ˈoŋɡo
furniture,mueble,ˈmweble,ˈmweβle
giraffe,jirafa,xiˈɾafa,xiˈɾafa
gland,glándula,ˈɡlandula,ˈɡlandula
god,dios,djos,djos
good,bueno,ˈbweno,ˈbweno
grain,grano,ˈɡɾano,ˈɡɾano
grape,uva,ˈuba,ˈuβa
grass,hierba,ˈjeɾba,ˈjeɾβa
grateful,agradecido,aɡɾadeˈsido,aɣɾaðeˈsiðo
green,verde,ˈbeɾde,ˈbeɾðe
grey,gris,ɡɾis,ɡɾis
ground,suelo,ˈswelo,ˈswelo
hair,pelo,ˈpelo,ˈpelo
hand,mano,ˈmano,ˈmano
happy,feliz,ˈfelis,ˈfelis
head,cabeza,kaˈbesa,kaˈβesa
healthy,sano,ˈsano,ˈsano
hear,oír,oˈir,oˈir
heavy,pesado,peˈsado,peˈsaðo
high-pitched,agudo,aˈɡudo,aˈɣuðo
hippopotamus,hipopótamo,ipoˈpotamo,ipoˈpotamo
hole,agujero,aɡuˈxeɾo,aɣuˈxeɾo
home,casa,ˈkasa,ˈkasa
hot,caliente,kaˈljente,kaˈljente
housefly,mosca,ˈmoska,ˈmoska
idear,idea,iˈdea,iˈðea
in front,frente,ˈfɾente,ˈfɾente
infinite,infinito,infiˈnito,infiˈnito
information,información,infoɾmaˈsjon,infoɾmaˈsjon
inside,dentro,ˈdentɾo,ˈdentɾo
jellyfish,medusa,meˈdusa,meˈðusa
kangaroo,canguro,kanˈɡuɾo,kanˈɡuɾo
koala,coala,koˈala,koˈala
late,tarde,ˈtaɾde,ˈtaɾðe
layout,diseño,diˈseɲo,diˈseɲo
leaf,hoja,ˈoxa,ˈoxa
leg,pierna,ˈpjeɾna,ˈpjeɾna
letra,letra,ˈletɾa,ˈletɾa
likely,probable,pɾoˈbable,pɾoˈβaβle
liquid,líquido,ˈlikido,ˈlikiðo
lizard,lagartija,laɡaɾˈtixa,laɣaɾˈtixa
long,largo,ˈlaɾɡo,ˈlaɾɣo
low,bajo,ˈbaxo,ˈbaxo
luz,luz,lus,lus
machine,máquina,ˈmakina,ˈmakina
magical,mágico,ˈmaxiko,ˈmaxiko
mammal,mamífero,maˈmifeɾo,maˈmifeɾo
mantis,mantis,ˈmantis,ˈmantis
married,casado,kaˈsado,kaˈsaðo
material,material,mateˈɾjal,mateˈɾjal
metal,metal,meˈtal,meˈtal
mixed,mezclado,mesˈklado,mesˈklaðo
moral,moral,moˈɾal,moˈɾal
more,más,ˈmas,ˈmas
mosquito,mosquito,mosˈkito,mosˈkito
mountain,montaña,monˈtaɲa,monˈtaɲa
mushroom,seta,ˈseta,ˈseta
must,debe,ˈdebe,ˈdeβe
natural,natural,natuˈɾal,natuˈɾal
nautilus,nautilo,nawˈtilo,nawˈtilo
neat,ordenado,oɾdeˈnado,oɾðeˈnaðo
network,red,red,reð
notion,noción,noˈsjon,noˈsjon
ocean,oceano,oseˈano,oseˈano
okay,bien,bjen,bjen
old,antiguo,anˈtiɡwo,anˈtiɣwo
opaque,opaco,oˈpako,oˈpako
opossum,zarigüeya,saɾiˈɡweʝa,saɾiˈɣweʝa
ostrich,avestruz,aˈbestɾus,aˈβestɾus
part,parte,ˈpaɾte,ˈpaɾte
path,camino,kaˈmino,kaˈmino
person,persona,peɾˈsona,peɾˈsona
phrase,frase,ˈfɾase,ˈfɾase
pidgeon,paloma,paˈloma,paˈloma
pig,cerdo,ˈseɾdo,ˈseɾðo
plant,planta,ˈplanta,ˈplanta
pleasure,placer,plaˈser,plaˈser
point,punto,ˈpunto,ˈpunto
possible,posible,poˈsible,poˈsiβle
powder,polvo,ˈpolbo,ˈpolβo
pregnant,embarazada,embaɾaˈsada,embaɾaˈsaða
present,presente,pɾeˈsente,pɾeˈsente
proud,orgulloso,oɾɡuˈʝoso,oɾɣuˈʝoso
raccoon,mapache,maˈpat͡ʃe,maˈpat͡ʃe
ray,raya,ˈraʝa,ˈraʝa
reality,realidad,realiˈdad,realiˈðað
