about,banyere,baɲeɾe,baɲeɾe
across,n&#39;ofe,ŋofe,ŋofe
adult,okenye,okeɲe,okeɲe
ahead,n&#39;ihu,ŋiɦu,ŋiɦu
algae,,,
amazing,dị ịtụnanya,dɪ ɪtʊnaɲa,dɪ ɪtʊnaɲa
anemone,,,
animal,anụmanụ,anʊmanʊ,anʊmanʊ
ant,,,
apple,apụl,apʊl,apʊl
arm,ogwe aka,oɡʷe aka,oɡʷe aka
art,nka,n̩ka,n̩ka
bacterium,nje,n̩dʒe,n̩dʒe
bamboo,,,
barnacle,oghere,oɣeɾe,oɣeɾe
bear,,,
beetle,ebe,ebe,ebe
below,n&#39;okpuru,ŋok͡puɾu,ŋok͡puɾu
between,n&#39;etiti,ŋetiti,ŋetiti
big,nnukwu,n̩nukʷu,n̩nukʷu
birth,amụ nwa,amʊ ŋʷa,amʊ ŋʷa
blue,acha anụnụ anụnụ,at͡ʃa anʊnʊ anʊnʊ,at͡ʃa anʊnʊ anʊnʊ
body,ahụ,aɦʊ,aɦʊ
broad,sara mbara,saɾa m̩baɾa,saɾa m̩baɹa
broken,gbajiri,ɡ͡badʒiɾi,ɡ͡badʒiɾi
brown,aja aja,adʒa adʒa,adʒa adʒa
bug,,,
bulrush,,,
burnt,edifọp,edifɒp,edifɒp
bustard,,,
butterfly,nru ububa,n̩ɾu ububa,n̩ɹu ububa
buttocks,ọ ga-eme,ɒ ɡa-eme,ɒ ɡa-eme
cactus,,,
camel,,,
carp,ube,ube,ube
certain,ụfọdụ,ʊfɒdʊ,ʊfɒdʊ
chest,obi,obi,obi
chunky,,,
circular,okirikiri,okiɾikiɾi,okiɾikiɾi
city,obodo,obodo,obodo
claw,ncha,n̩t͡ʃa,n̩t͡ʃa
clean,dị ọcha,dɪ ɒt͡ʃa,dɪ ɒt͡ʃa
closed,mechiri,met͡ʃiɾi,met͡ʃiɾi
cockroach,eme ihe,eme iɦe,eme iɦe
colour,agba,aɡ͡ba,aɡ͡ba
computer,kọmputa,kɒm̩puta,kɒm̩puta
continent,,,
control,njikwa,n̩dʒikʷa,n̩dʒikʷa
corn,ọka,ɒka,ɒka
counterclockwise,,,
country,mba,m̩ba,m̩ba
crab,nshịkọ,n̩ʃɪkɒ,n̩ʃɪkɒ
cricket,ugbo,uɡ͡bo,uɡ͡bo
crocodile,agụ iyi,aɡʊ iji,aɡʊ iji
crystal,,,
culture,omenala,omenala,omenala
cupped,bupụrụ,bupʊɾʊ,bupʊɾʊ
damaged,mebiri,mebiɾi,mebiɾi
dense,ok,ok,ok
derecha,nri,n̩ɾi,n̩ɹi
descansar,ezumike,ezumike,ezumike
different,dị iche,dɪ it͡ʃe,dɪ it͡ʃe
earwig,,,
east,n&#39;ebe ọwụwa anyanwụ,ŋebe ɒwʊwa aɲaŋʷʊ,ŋebe ɒwʊwa aɲaŋʷʊ
easy,mfe,m̩fe,m̩fe
egg,akwa,akʷa,akʷa
electricity,ọkụ eletrik,ɒkʊ eletɾik,ɒkʊ eletɹik
elephant,,,
escama,,,
excited,obi ụtọ,obi ʊtɒ,obi ʊtɒ
face,ihu,iɦu,iɦu
faith,okwukwe,okʷukʷe,okʷukʷe
familiar,mara,maɾa,maɾa
far,anya,aɲa,aɲa
fast,ngwa ngwa,n̩ɡʷa n̩ɡʷa,n̩ɡʷa n̩ɡʷa
feather,nku,n̩ku,n̩ku
fern,,,
finger,mkpịsị aka,m̩k͡pɪsɪ aka,m̩k͡pɪsɪ aka
fire,ọkụ,ɒkʊ,ɒkʊ
fish,azụ,azʊ,azʊ
flea,uba,uba,uba
flower,ifuru,ifuɾu,ifuɾu
foamy,,,
fowl,ufe,ufe,ufe
friendly,enyi na enyi,eɲi na eɲi,eɲi na eɲi
fruit,mkpụrụ,m̩k͡pʊɾʊ,m̩k͡pʊɹʊ
full,zuru,zuɾu,zuɾu
fun,ọchị,ɒt͡ʃɪ,ɒt͡ʃɪ
fungus,ero,eɾo,eɾo
furniture,ngwá ụlọ,n̩ɡʷá ʊlɒ,n̩ɡʷá ʊlɒ
giraffe,ugwo,uɡʷo,uɡʷo
gland,,,
god,chi,t͡ʃi,t͡ʃi
good,mma,m̩ma,m̩ma
grain,ọka,ɒka,ɒka
grape,mkpụrụ vaịn,m̩k͡pʊɾʊ vaɪn̩,m̩k͡pʊɹʊ vaɪn̩
grass,ahịhịa,aɦɪɦɪa,aɦɪɦɪa
grateful,ekele,ekele,ekele
green,akwụkwọ ndụ akwụkwọ ndụ,akʷʊkʷɒ n̩dʊ akʷʊkʷɒ n̩dʊ,akʷʊkʷɒ n̩dʊ akʷʊkʷɒ n̩dʊ
grey,isi awọ,isi awɒ,isi awɒ
ground,ala,ala,ala
hair,ntutu,n̩tutu,n̩tutu
hand,aka,aka,aka
happy,obi ụtọ,obi ʊtɒ,obi ʊtɒ
head,isi,isi,isi
healthy,ike,ike,ike
hear,nụ,nʊ,nʊ
heavy,arọ,aɾɒ,aɾɒ
high-pitched,,,
hippopotamus,,,
hole,onu,onu,onu
home,ulo,ulo,ulo
hot,ọkụ,ɒkʊ,ɒkʊ
housefly,,,
idear,,,
in front,n&#39;ihu,ŋiɦu,ŋiɦu
infinite,enweghị ngwụcha,eŋʷeɣɪ n̩ɡʷʊt͡ʃa,eŋʷeɣɪ n̩ɡʷʊt͡ʃa
information,ozi,ozi,ozi
inside,n&#39;ime,ŋime,ŋime
jellyfish,,,
kangaroo,,,
koala,,,
late,mbubreyo,m̩bubɾejo,m̩bubɹejo
layout,nhazi,n̩ɦazi,n̩ɦazi
leaf,akwukwo,akʷukʷo,akʷukʷo
leg,ụkwụ,ʊkʷʊ,ʊkʷʊ
letra,leta,leta,leta
likely,ikekwe,ikekʷe,ikekʷe
liquid,mmiri mmiri,m̩miɾi m̩miɾi,m̩miɹi m̩miɹi
lizard,akwa,akʷa,akʷa
long,ogologo,oɡoloɡo,oɡoloɡo
low,ala,ala,ala
luz,,,
machine,igwe,iɡʷe,iɡʷe
magical,kpakpando,k͡pak͡pan̩do,k͡pak͡pan̩do
mammal,anụ ahụ,anʊ aɦʊ,anʊ aɦʊ
mantis,,,
married,lụrụ,lʊɾʊ,lʊɾʊ
material,ihe onwunwe,iɦe oŋʷuŋʷe,iɦe oŋʷuŋʷe
metal,ígwè,íɡʷè,íɡʷè
mixed,agwakọta,aɡʷakɒta,aɡʷakɒta
moral,omume,omume,omume
more,ọzọ,ɒzɒ,ɒzɒ
mosquito,anwụnta,aŋʷʊn̩ta,aŋʷʊn̩ta
mountain,ugwu,uɡʷu,uɡʷu
mushroom,ero,eɾo,eɾo
must,aghaghị,aɣaɣɪ,aɣaɣɪ
natural,eke,eke,eke
nautilus,,,
neat,anya,aɲa,aɲa
network,,,
notion,echiche,et͡ʃit͡ʃe,et͡ʃit͡ʃe
ocean,oké osimiri,oké osimiɾi,oké osimiɾi
okay,mma,m̩ma,m̩ma
old,agadi,aɡadi,aɡadi
opaque,,,
opossum,,,
ostrich,,,
part,akụkụ,akʊkʊ,akʊkʊ
path,ụzọ,ʊzɒ,ʊzɒ
person,onye,oɲe,oɲe
pidgeon,,,
pig,ezi,ezi,ezi
plant,osisi,osisi,osisi
pleasure,obi ụtọ,obi ʊtɒ,obi ʊtɒ
point,isi,isi,isi
possible,kwere omume,kʷeɾe omume,kʷeɾe omume
powder,uzuzu,uzuzu,uzuzu
pregnant,ime,ime,ime
present,,,
proud,mpako,m̩pako,m̩pako
raccoon,,,
ray,,,
reality,eziokwu,eziokʷu,eziokʷu
reason,ihe kpatara ya,iɦe k͡pataɾa ja,iɦe k͡pataɾa ja
recto,ziri ezi,ziɾi ezi,ziɾi ezi
red,acha uhie uhie,at͡ʃa uɦie uɦie,at͡ʃa uɦie uɦie
region,mpaghara,m̩paɣaɾa,m̩paɣaɹa
reptile,,,
rhinoceros,,,
rice,osikapa,osikapa,osikapa
rodent,ogwu,oɡʷu,oɡʷu
root,mgbọrọgwụ,m̩ɡ͡bɒɾɒɡʷʊ,m̩ɡ͡bɒɹɒɡʷʊ
rotten,rere ure,ɾeɾe uɾe,ɹeɾe uɾe
salmon,salmọn,salmɒn̩,salmɒn̩
salty,nnu,n̩nu,n̩nu
scorpion,akpị,ak͡pɪ,ak͡pɪ
seal,akara,akaɾa,akaɾa
season,oge,oɡe,oɡe
see,lee,lee,lee
seed,mkpụrụ,m̩k͡pʊɾʊ,m̩k͡pʊɹʊ
sentence,ikpe,ik͡pe,ik͡pe
serious,dị njọ,dɪ n̩dʒɒ,dɪ n̩dʒɒ
sex,,,
shape,udi,udi,udi
shark,akụm,akʊm̩,akʊm̩
sharp,nkọ,n̩kɒ,n̩kɒ
shiny,gbaa,ɡ͡baa,ɡ͡baa
should,kwesịrị,kʷesɪɾɪ,kʷesɪɾɪ
simple,dị mfe,dɪ m̩fe,dɪ m̩fe
skillful,nkà,n̩kà,n̩kà
slug,,,
smell,esi ísì,esi ísì,esi ísì
smooth,ezigbo,eziɡ͡bo,eziɡ͡bo
social,elekọta mmadụ,elekɒta m̩madʊ,elekɒta m̩madʊ
soil,ala,ala,ala
solid,siri ike,siɾi ike,siɾi ike
sour,uto,uto,uto
south,n&#39;ebe ndịda,ŋebe n̩dɪda,ŋebe n̩dɪda
soy,,,
space,,,
specialist,ọkachamara,ɒkat͡ʃamaɾa,ɒkat͡ʃamaɾa
specific,kpọmkwem,k͡pɒm̩kʷem̩,k͡pɒm̩kʷem̩
spicy,oseose,oseose,oseose
spider,ududo,ududo,ududo
stacked,tụba,tʊba,tʊba
starboard,,,
steep,elu,elu,elu
stem,ala,ala,ala
stick,osisi,osisi,osisi
stone,nkume,n̩kume,n̩kume
storm,oké ifufe,oké ifufe,oké ifufe
story,akụkọ,akʊkɒ,akʊkɒ
string,eriri,eɾiɾi,eɾiɾi
strong,ike,ike,ike
structure,nhazi,n̩ɦazi,n̩ɦazi
sun,anyanwụ,aɲaŋʷʊ,aɲaŋʷʊ
surface,elu,elu,elu
sweet,ụtọ,ʊtɒ,ʊtɒ
tangible,anya,aɲa,aɲa
tangled,juputara,dʒuputaɾa,dʒuputaɾa
tapir,,,
taste,uto,uto,uto
tenso,,,
thick,oké,oké,oké
tick,akọrọ,akɒɾɒ,akɒɾɒ
tired,ike gwụrụ,ike ɡʷʊɾʊ,ike ɡʷʊɾʊ
to accompany,soro,soɾo,soɾo
to act,ime ihe,ime iɦe,ime iɦe
to anticipate,atụ anya,atʊ aɲa,atʊ aɲa
to believe,kwere,kʷeɾe,kʷeɾe
to bounce,ibiaghachi,ibiaɣat͡ʃi,ibiaɣat͡ʃi
to care,,,
to choose,ịhọrọ,ɪɦɒɾɒ,ɪɦɒɾɒ
to continue,aga n&#39;ihu,aɡa ŋiɦu,aɡa ŋiɦu
to convert,tọghata,tɒɣata,tɒɣata
to cook,esi nri,esi n̩ɾi,esi n̩ɹi
to correspond,,,
to cost,efu,efu,efu
to deal,merie,meɾie,meɾie
