about,tungkol,tuŋkol,tuŋkol
across,kabuuan,kabuuan,kabuuan
adult,matanda,matanda,matanda
ahead,maaga,maaɡa,maaɡa
algae,*,*,*
amazing,kahanga-hangang,kahaŋa-haŋaŋ,kahaŋa-haŋaŋ
anemone,*,*,*
animal,hayop,hajop,hajop
ant,*,*,*
apple,mansanas,mansanas,mansanas
arm,braso,bɾaso,bɾaso
art,sining,siniŋ,siniŋ
bacterium,*,*,*
bamboo,kawayan,kawajan,kawajan
barnacle,tanghali,taŋhali,taŋhali
bear,*,*,*
beetle,salaginto,salaɡinto,salaɡinto
below,ibaba,ibaba,ibaba
between,pagitan,paɡitan,paɡitan
big,malaki,malaki,malaki
birth,kapanganakan,kapaŋanakan,kapaŋanakan
blue,asul,asul,asul
body,katawan,katawan,katawan
broad,malawak,malawak,malawak
broken,sirang,siɾaŋ,siɾaŋ
brown,kayumanggi,kajumaŋɡi,kajumaŋɡi
bug,kulisap,kulisap,kulisap
bulrush,tambo,tambo,tambo
burnt,nasunog,nasunoɡ,nasunoɡ
bustard,*,*,*
butterfly,*,*,*
buttocks,pigi,piɡi,piɡi
cactus,*,*,*
camel,kamelyo,kameljo,kameljo
carp,pamumula,pamumula,pamumula
certain,sigurado,siɡuɾado,siɡuɾado
chest,dibdib,dibdib,dibdib
chunky,*,*,*
circular,pabilog,pabiloɡ,pabiloɡ
city,lungsod,luŋsod,luŋsod
claw,kuko,kuko,kuko
clean,malinis,malinis,malinis
closed,sarado,saɾado,saɾado
cockroach,ipis,ipis,ipis
colour,kulay,kulaj,kulaj
computer,*,*,*
continent,kontinente,kontinente,kontinente
control,kontrolin,kontɾolin,kontɾolin
corn,mais,mais,mais
counterclockwise,*,*,*
country,bansa,bansa,bansa
crab,alimango,alimaŋo,alimaŋo
cricket,kuliglig,kuliɡliɡ,kuliɡliɡ
crocodile,buwaya,buwaja,buwaja
crystal,kristal,kɾistal,kɾistal
culture,kultura,kultuɾa,kultuɾa
cupped,*,*,*
damaged,nasira,nasiɾa,nasiɾa
dense,siksik,siksik,siksik
derecha,tama,tama,tama
descansar,sumandal,sumandal,sumandal
different,iba,iba,iba
earwig,earwig,eaɾwiɡ,eaɾwiɡ
east,silangan,silaŋan,silaŋan
easy,madali,madali,madali
egg,itlog,itloɡ,itloɡ
electricity,kuryente,kuɾjente,kuɾjente
elephant,elepante,elepante,elepante
escama,kaliskis,kaliskis,kaliskis
excited,nasasabik,nasasabik,nasasabik
face,mukha,mukha,mukha
faith,pananampalataya,pananampalataja,pananampalataja
familiar,pamilyar,pamiljaɾ,pamiljaɾ
far,malayo,malajo,malajo
fast,mabilis,mabilis,mabilis
feather,balahibo,balahibo,balahibo
female,babae,babae,babae
fern,pako,pako,pako
finger,daliri,daliɾi,daliɾi
fire,apoy,apoj,apoj
fish,isda,isda,isda
flea,pulgas,pulɡas,pulɡas
flower,bulaklak,bulaklak,bulaklak
foamy,mabula,mabula,mabula
fowl,unggoy,uŋɡoj,uŋɡoj
friendly,*,*,*
fruit,prutas,pɾutas,pɾutas
full,buong,buoŋ,buoŋ
fun,masaya,masaja,masaja
fungus,halamang-singaw,halamaŋ-siŋaw,halamaŋ-siŋaw
furniture,kasangkapan,kasaŋkapan,kasaŋkapan
giraffe,dyirap,djiɾap,djiɾap
gland,glandula,ɡlandula,ɡlandula
god,diyos,dijos,dijos
good,mabuti,mabuti,mabuti
grain,butil,butil,butil
grape,ubas,ubas,ubas
grass,damo,damo,damo
grateful,nagpapasalamat,naɡpapasalamat,naɡpapasalamat
green,berde,beɾde,beɾde
grey,kulay-abo,kulaj-abo,kulaj-abo
ground,lupa,lupa,lupa
hair,buhok,buhok,buhok
hand,kamay,kamaj,kamaj
happy,masaya,masaja,masaja
head,ulo,ulo,ulo
healthy,malusog,malusoɡ,malusoɡ
hear,dinggin,diŋɡin,diŋɡin
heavy,mabigat,mabiɡat,mabiɡat
high-pitched,matinis,matinis,matinis
hippopotamus,*,*,*
hole,butas,butas,butas
home,bahay,bahaj,bahaj
hot,mainit,mainit,mainit
housefly,langaw,laŋaw,laŋaw
idear,umisip,umisip,umisip
in front,harap,haɾap,haɾap
infinite,walang katapusan,walaŋ katapusan,walaŋ katapusan
information,impormasyon,impoɾmasjon,impoɾmasjon
inside,loob,loob,loob
jellyfish,dikya,dikja,dikja
kangaroo,*,*,*
kin,kamag,kamaɡ,kamaɡ
koala,*,*,*
late,huli,huli,huli
layout,*,*,*
leaf,dahon,dahon,dahon
leg,binti,binti,binti
letra,letra,letɾa,letɾa
likely,malamang,malamaŋ,malamaŋ
liquid,likido,likido,likido
lizard,butiki,butiki,butiki
long,mahaba,mahaba,mahaba
low,mababa,mababa,mababa
luz,liwanag,liwanaɡ,liwanaɡ
machine,*,*,*
magical,mahiwagang,mahiwaɡaŋ,mahiwaɡaŋ
mammal,*,*,*
mantis,sasamba,sasamba,sasamba
married,kasal,kasal,kasal
material,materyal,mateɾjal,mateɾjal
metal,metal,metal,metal
mixed,magkakahalo,maɡkakahalo,maɡkakahalo
moral,*,*,*
more,higit,hiɡit,hiɡit
mosquito,lamok,lamok,lamok
mountain,bundok,bundok,bundok
mushroom,kabute,kabute,kabute
must,dapat,dapat,dapat
natural,natural,natuɾal,natuɾal
nautilus,*,*,*
neat,malinis,malinis,malinis
network,*,*,*
notion,paniwala,paniwala,paniwala
ocean,karagatan,kaɾaɡatan,kaɾaɡatan
okay,mabuti,mabuti,mabuti
old,matanda,matanda,matanda
opaque,hindi kanais-nais,hindi kanais-nais,hindi kanais-nais
opossum,oposum,oposum,oposum
order,maghusay,maɡhusaj,maɡhusaj
ostrich,*,*,*
part,bahagi,bahaɡi,bahaɡi
path,landas,landas,landas
person,tao,tao,tao
pidgeon,*,*,*
pig,baboy,baboj,baboj
plant,planta,planta,planta
pleasure,kasiyahan,kasijahan,kasijahan
point,punto,punto,punto
possible,maaari,maaaɾi,maaaɾi
powder,pulbos,pulbos,pulbos
pregnant,buntis,buntis,buntis
present,dumalo,dumalo,dumalo
proud,mapagmataas,mapaɡmataas,mapaɡmataas
raccoon,*,*,*
ray,*,*,*
reality,katotohanan,katotohanan,katotohanan
reason,dahilan,dahilan,dahilan
recto,tuwid,tuwid,tuwid
red,pula,pula,pula
region,rehiyon,ɾehijon,ɾehijon
reptile,*,*,*
rhinoceros,*,*,*
rice,kanin,kanin,kanin
rodent,daga,daɡa,daɡa
root,root,ɾoot,ɾoot
rotten,bulok,bulok,bulok
salmon,*,*,*
salty,maalat,maalat,maalat
scorpion,alakdan,alakdan,alakdan
seal,selyo,seljo,seljo
season,panahon,panahon,panahon
see,tingnan,tiŋnan,tiŋnan
seed,binhi,binhi,binhi
sentence,pangungusap,paŋuŋusap,paŋuŋusap
serious,seryoso,seɾjoso,seɾjoso
sex,pagtatalik,paɡtatalik,paɡtatalik
shape,hugis,huɡis,huɡis
shark,pating,patiŋ,patiŋ
sharp,matalim,matalim,matalim
shiny,makintab,makintab,makintab
should,dapat,dapat,dapat
simple,simple,simple,simple
skillful,magaling,maɡaliŋ,maɡaliŋ
slide,kuskusin,kuskusin,kuskusin
slug,kuhol,kuhol,kuhol
smell,amoy,amoj,amoj
smooth,makinis,makinis,makinis
social,panlipunan,panlipunan,panlipunan
soil,lupa,lupa,lupa
solid,*,*,*
sour,maasim,maasim,maasim
south,timog,timoɡ,timoɡ
soy,toyo,tojo,tojo
space,kalawakan,kalawakan,kalawakan
specialist,espesyalista,espesjalista,espesjalista
specific,tiyak,tijak,tijak
spicy,maanghang,maaŋhaŋ,maaŋhaŋ
spider,*,*,*
stacked,isinalansan,isinalansan,isinalansan
starboard,*,*,*
steep,matarik,mataɾik,mataɾik
stem,*,*,*
stick,*,*,*
stone,bato,bato,bato
storm,bagyo,baɡjo,baɡjo
story,kuwento,kuwento,kuwento
string,*,*,*
strong,malakas,malakas,malakas
structure,istraktura,istɾaktuɾa,istɾaktuɾa
sun,araw,aɾaw,aɾaw
surface,ibabaw,ibabaw,ibabaw
sweet,matamis,matamis,matamis
tangible,nasasalat,nasasalat,nasasalat
tangled,magkagulo,maɡkaɡulo,maɡkaɡulo
tapir,tapir,tapiɾ,tapiɾ
taste,lasa,lasa,lasa
technology,teknolohiya,teknolohija,teknolohija
tenso,malubha,malubha,malubha
thick,makapal,makapal,makapal
tick,*,*,*
tired,pagod,paɡod,paɡod
to accompany,samahan,samahan,samahan
to act,umarte,umaɾte,umaɾte
to anticipate,mauna,mauna,mauna
to believe,maniwala,maniwala,maniwala
to bounce,tumalbog,tumalboɡ,tumalboɡ
to care,alitanahin,alitanahin,alitanahin
to choose,pumili,pumili,pumili
to continue,magpatuloy,maɡpatuloj,maɡpatuloj
to convert,*,*,*
to cook,magluto,maɡluto,maɡluto
to correspond,makaayon,makaajon,makaajon
to cost,gastos,ɡastos,ɡastos
to deal,magkasundo,maɡkasundo,maɡkasundo
to deserve,maging karapat-dapat,maɡiŋ kaɾapat-dapat,maɡiŋ kaɾapat-dapat
to engineer,*,*,*
to face,harapin,haɾapin,haɾapin
to fall,mahulog,mahuloɡ,mahuloɡ
to fear,takot,takot,takot
to feel,maramdaman,maɾamdaman,maɾamdaman
to fight,lumaban,lumaban,lumaban
to fly,lumipad,lumipad,lumipad
to function,gumana,ɡumana,ɡumana
to govern,pamahalaan,pamahalaan,pamahalaan
to help,tumulong,tumuloŋ,tumuloŋ
to hit,na matamaan,na matamaan,na matamaan
to hold,hawakan,hawakan,hawakan
to hunt,mang-aso,maŋ-aso,maŋ-aso
to know,malaman,malaman,malaman
to live,mabuhay,mabuhaj,mabuhaj
to love,magmahal,maɡmahal,maɡmahal
to mean,ibig sabihin,ibiɡ sabihin,ibiɡ sabihin
to model,modelo,modelo,modelo
to move,gumalaw,ɡumalaw,ɡumalaw
to need,kailangan,kailaŋan,kailaŋan
to notice,mapansin,mapansin,mapansin
to obey,sundin,sundin,sundin
to own,pagmamay-ari,paɡmamaj-aɾi,paɡmamaj-aɾi
to party,partido,paɾtido,paɾtido
to pay attention,bigyang-pansin,biɡjaŋ-pansin,biɡjaŋ-pansin
to perceive,makita,makita,makita
to plan,magplano,maɡplano,maɡplano
to play,maglaro,maɡlaɾo,maɡlaɾo
to ponder,pagnilayan,paɡnilajan,paɡnilajan
to prosper,umunlad,umunlad,umunlad
to push,itulak,itulak,itulak
to read,basahin,basahin,basahin
to recall,maalala,maalala,maalala
to relate,magkaugnay,maɡkauɡnaj,maɡkauɡnaj
to repeat,ulitin,ulitin,ulitin
to ride,sumakay,sumakaj,sumakaj
to roll,gumulong,ɡumuloŋ,ɡumuloŋ
to say,sabihin,sabihin,sabihin
to sell,ibenta,ibenta,ibenta
to sit,umupo,umupo,umupo
to sleep,matulog,matuloɡ,matuloɡ
to speak,magsalita,maɡsalita,maɡsalita
to spin,umikot,umikot,umikot
to stand,tumayo,tumajo,tumajo
to step,hakbang,hakbaŋ,hakbaŋ
to study,mag-aral,maɡ-aɾal,maɡ-aɾal
to surprise,sorpresa,soɾpɾesa,soɾpɾesa
to surround,palibutan,palibutan,palibutan
to take care,mangalaga,maŋalaɡa,maŋalaɡa
to think,magisip,maɡisip,maɡisip
to touch,hawakan,hawakan,hawakan
to try,magtangka,maɡtaŋka,maɡtaŋka
to understand,maintindihan,maintindihan,maintindihan
to wait,ang mag hintay,aŋ maɡ hintaj,aŋ maɡ hintaj
to want,gusto,ɡusto,ɡusto
to wear,isuot,isuot,isuot
to win,manalo,manalo,manalo
to work,magtrabaho,maɡtɾabaho,maɡtɾabaho
to worry,mag-alala,maɡ-alala,maɡ-alala
to write,magsulat ng,maɡsulat ŋ,maɡsulat ŋ
tomato,kamatis,kamatis,kamatis
torso,katawan ng tao,katawan ŋ tao,katawan ŋ tao
touch,hawakan,hawakan,hawakan
tree,puno,puno,puno
tuna,*,*,*
turned on,*,*,*
turtle,pagong,paɡoŋ,paɡoŋ
typical,tipikal,tipikal,tipikal
vagina,puki,puki,puki
virus,virus,viɾus,viɾus
viscous,malapot,malapot,malapot
wasp,putakti,putakti,putakti
whale,*,*,*
wheat,trigo,tɾiɡo,tɾiɡo
white,puti,puti,puti
wide,malawak,malawak,malawak
widespread,kalat,kalat,kalat
wood,kahoy,kahoj,kahoj
word,salita,salita,salita
worm,uod,uod,uod
