Djastiz,jàpī
0,ūm
1,jā
2,mé
3,ēm
4,pú
5,lē
6,pá
7,rú
8,lá
9,rò
A (10; only used for duodecimal and hexadecimal),rù
B (11; only used for duodecimal and hexadecimal),là
C (12; only used for hexadecimal),mà
D (13; only used for hexadecimal),rū
E (14; only used for hexadecimal),lé
F (15; only used for hexadecimal),jō
Hexadec (16; only used to describe hexadecimal),já
-,mō
dot (decimal point),rà
"10^ (or 12^, or whatever depending on the radix)",mò
radix,pō
maximum (the absolute),ēl
the-past,úm
the-future,ùl
the-present,pó
times (habitual tense),lú
era (10^5 days),jè
chunk (10^3 days),jū
cycle (10^1 days),rō
day (time unit),jò
ke (10^-2 days),ró
span (10^-3 days),òl
snap (10^-5 days),pà
morning (;00-;50 or 00:00-12:00),mù
daytime (;25-;75 or 06:00-18:00 or whenever the sun is up),ól
evening (;50-;00 or 12:00-00:00),mū
nighttime (;75-;25 or 18:00-06:00 or whenever the sun is down),rá
notion (idea; not necessarily true or objective),èm
instance,óm
point (a particular time or place),èl
region (an area in space of a period of time),lū
interval,rā
line (of the segment or infinite variety),ém
circle,jù
curve (any smooth path),lè
zigzag (a polygonal path thing),lā
loop (closed path),jà
polygon,jú
rod,mú
blob,mē
sphere,má
rectangle,áe
box,mòl
film (the original meaning - thin thanslucent surfaces),lōm
powder,pēl
bit (describes gravel and cereal),púm
string,mól
hole (hallway; tube; gap),ròm
concept (intangible),jōm
thing (tangible),rúm
light,jél
sight,rāl
sound,mèm
tactility (touch),rém
scent,rōm
flavor,pém
spoken-language,pòl
written-language,pūm
image (in the most general sense),jēm
tool,lúm
female,lèl
male,lám
neutered-or-spayed,rūm
person,jèl
child,jēl
adolescent,màl
adult (older than 7 chunks or so),mām
elder (senior citizen),mùl
cosmos,lēm
star (sun),lèm
Sol (our sun),lōl
planet,pām
Earth,jóm
"landmass (e.g. America, Afro-Eurasia)",lām
"continent (e.g. North America, Eurasia)",pōl
settlement (like a city or a town),pūl
society,jèm
mountain,rál
sea,ràm
jungle,rèm
desert,pēm
tundra,lūl
plains,lùm
atmosphere (weather),lél
home,lùl
body,rām
hair,ūje
face,rūl
head,mōl
torso,jém
arm,póm
bicep (thigh),rēl
forearm (shin),làl
hand,lól
finger (toe),púl
pelvis (hips),leel
butt,rám
leg,pàl
foot,màm
gland (node or organ),ōpo
penis,pùl
vagina,pùm
breast,pòm
soul (mind),lál
claw (of the sharp variety),pél
wing,pàm
shell,róm
antenna,làm
leaf,rél
fruit,mēm
root,jòm
stem (trunk),lóm
blade (of grass),pám
flower,jām
appendage,loē
money,māl
"fact (not necessarily true, but necessarily objective)",lāl
"information (a notion, number, etc.)",lòm
detail,moja
sentence,rùm
word,lúl
letter (phoneme; character),óro
Reality (the physical world of our human bodies and the four forces etc.),aré
reality (any imagined or simulated or real universe),mél
spring,pāl
summer,mēl
autumn,jám
winter,rera
water,arel
earth,jàm
fire,mūa
air,lém
wood,alel
metal,mám
vacuum,pōm
electricity,pèl
crystal,reru
meme,mém
rock (not necessarily earthy),meù
sand,lòl
snow,pàe
"element (water, earth, fire, air, etc.)",ául
paper,lēl
ceramic,múl
plastic,lūm
ink,ùpo
oxygen,pól
urine,ūle
feces,mòu
gunpowder,pōè
toiletries,jōro
language,ēmel
culture,úlā
topography (geography),ùlò
history,rùá
life,āél
physics,mèul
chemicals,pépo
"repository (a body of technical knowledge we might call ""science"")",màmu
mathematics,pómu
computer,orām
human,òlà
primatomorpha (basically monkeys and apes plus a few other types of primate),óló
scandentia (treeshrews),òóm
"lagomorpha (rabbits, hares, pikas)",árul
rodent,lóom
"euliptyphla (hedgehogs, moles, shrews, and a few other rodent-like things)",ūlō
chiroptera (bats and flying foxes),àjom
pangolin,jāpe
feline,pajà
"canine (describes wolves, dingoes, and foxes)",māal
bear,roōm
seal (includes walruses and maybe sea lions I think?),pòlo
red-panda,òlal
skunk,leré
"procyonidae (raccoons, coatis, kinkajous, olingos, olinguitos, ringtails, and cacomistles)",pùù
"mustelidae (weasels, badgers, otters, martens, ferrets, minks, stoats, and wolverines)",peól
horse (includes zebras and several varieties of wild butt),éòl
tapir,rulū
rhinoceros,èrú
tylopoda (camels and llamas),epōl
pig,élal
chevrotain,àjē
giraffe (and okapi),lerē
"bovida (cattle, buffalo, antelopes, sheep, goats, etc.)",ūól
"pecora (basically anything with horns besides chevrotains, giraffes, and bovines)",arém
hippopotamus,ómul
whale (also refers to dolphins and porpoises),mòje
armadillo,ráū
anteater,roré
sloth,lōá
"afroinsectiphilia (golden moles, tenrecs, elephant, shrews, aardvarks, and some other things)",ámá
elephant,òòl
sea-cow (like manatees),luēl
hyrax (little rodent-like things),ómò
opossum,ōél
shrew-oppossum (more closely related to Australia than possums),moúl
vombatiforme (koalas and wombats),éàl
phalangeriforme (possums... which are apparently different from opossums and tend to fly),jarol
macropodiforme (kangaroos and wallabies),elám
"australidelphia (besides wombats, koalas, and kangaroos)",ājū
platypus,rojó
echidna,ámò
mammal,rópe
reptile,júō
bird,òmō
tuatara (a lizard-type thing),máù
lizard,òré
snake,mùō
"palaeognatha (ostriches, rheas, tinamous, kiwis, cassowaries, and emus)",èlē
waterfowl,poém
"landfowl (chickens, turkeys, and pheasants)",jupal
flamingo,ròlu
grebe,rúá
"columbimorphae (pidgeons, doves, sandgrouses, and mesites)",máē
"otidae (bustards, turacos, cuckoos, nightbirds, swifts, and hummingbirds)",ólul
hoatzin (some weird kind of bird),umém
shorebird,ópè
eurypygimorphae (a bunch of tropical birds),lòom
loon,jáù
penguin,muùl
procellariid (albatrosses and petrels),újè
stork,mulé
suliforme (boobies and cormorants and a few other things),jàma
plecaniforme (pelicans and similar things),rùmà
condor (also encompasses New World vultures),lèmò
secretary-bird,érūm
osprey,újāl
"accipitridae (hawks, eagles, kites, Old World vultures, and a few other things)",mūjē
owl,mùlù
coraciimorpha (some smallish generally tree-dwelling birds),lújū
cariamiforme (it's a flightless terrestrial bird),mèlol
"eufalconimorpha (falcons, passerines, parrots, caracaras, and forest falcons)",jōèm
crocodilian (crocodiles and alligators),pórà
turtle (includes tortoises and terrapins),lulól
amphibian,jalōm
salientia (frogs and toads),rèrè
salamander,jùpol
caecilian (blind legless amphibians),lārē
fish,méól
lungfish (fish that breathe air),āmēm
coelacanth,ramól
polypteriforme (bichirs and reedfishes or ropefishes),ràrú
sturgeon,pōpal
paddlefish,rūūm
bowfin,rūlò
gar,ēpòm
eel,jurál
"elopomorpha (ladyfishes, tarpons, and bonefishes, but not eels)",mújul
freshwater-butterflyfish,mālé
arowana (bonytounges),ròpá
"notopteroide (aba, elephantfishes, and featherfin knives)",púlú
"otocephala (herrings, slickheads, milkfishes, minnows, carps, loaches, catfishes, knifefishes, and tetras)",léjem
"protacanthopterygii (salmons, trouts, pikes, dragonfishes, and smelts)",lumòm
cusk-eel,pomōm
toadfish,pōlol
scombroide (tunas and mackerels),pēpam
seahorse,pumèm
anglerfish,làóm
pufferfish,mélē
"percomorpha (gobies, cichlids, flatfish, wrasse, and perches)",lópé
"neoteleostei (jellynoses, lizardfishes, lanternfishes, beardfishes, troutperches, cods, dories, oarfishes, opahs, ribbonfishes, and squirrelfishes)",lájè
galean-shark,mōmō
squalomorph-shark,mólō
ray (the ocean variety),múpam
invertebrate,pèpà
arthropod,rēpà
holocephali,rolúl
lamprey,ōrūl
hagfish (slime-eel),lémom
ascidiacea (sea squirts),ōmóm
pyrosome,mamòl
salp,júūl
doliolida,ūmūl
larvacea,pòmá
cephalochordata (lancelets and branchiostomidae),jèpō
hemichordate (weird ocean worm tree blobs),pàmè
sealily,mùlum
seastar,pàlam
"ophiuroid (think 'seastar', but less brittle)",jújom
seaurchin,jojúm
seacucumber,rójum
scalidophora (mud-dwelling tiny aquatic things),pùró
nematoid (parasitic worms FTW!),pujèl
tardigrade,majōl
acarus (mites and ticks),roalol
"amblypygus (they look like spiders, but produce no web or venom)",lélam
spider,lélol
opilione (things that look like spiders),rōjá
palpigrade,merōl
pseudoscorpion,jùjà
ricinulei,lúmol
schizomida,làmè
scorpion,papòl
solifuga,ròlem
thelyphonid,jerám
"pantopod (they're like spiders, but in the ocean!)",repùm
horseshoe-crab,mèmā
centipede,jōrē
millipede,jòpù
pauropod,rólē
symphalan,jōrel
branchiopod (a few types of shrimp),jàmó
