true,ű
false,e̋
"be (this is ==, not .equals())",ő
do,ȕ
exist,a̋
happen,ȍ
become (the act of a state transitioning from falsehood to truth; often used in compound words with states),ȅm
unbecome (the act of a state ceasing to be true; often used in compound words with states),ȍl
begin,le̋
end (stop happening),jő
possible (can happen),ȅl
cause,rȕ
allow (give permission),ȍm
want,ma̋
unwant (actively not want an object),űl
necessary (the subject must be true in order for the direct object to be true),rȅ
should (how good a decision is),rű
shouldn't (how bad a decision is),jű
go (from the indirect object to the direct object),je̋
possess,őm
create,aȁ
relate (to a topic),mű
active-perceive (look or listen or sniff),jȁ
passive-perceive (see or hear or smell),pű
give,rȍ
take,rő
use,ja̋
"many (exclusively applies to things with discrete amounts, like instances)",lő
say (use a declarative sentence; give information),űm
tell (use an imperative sentence; instruct; command),jȕ
ask (use an interrogative sentence; request information),e̋l
prosper,mő
excuse,ȕl
sorry,la̋
outside (large distance from center),me̋
inside (small distance from center),mȁ
know (believe that something is true with certainty and be right),e̋m
"believe (accept a fact on a subconcious level; contrast with ""think"")",pő
"think (conciously deciding that a fact is true; contrast with ""believe"")",lű
disbelieve (have a negative reaction to an idea),pa̋
like,ra̋
dislike,re̋
"long (physical distance; maximum dimension; see ""old"")",pȍ
"short (physical distance; maximum dimension; see ""young"")",mȅ
thick (minimum dimension),jȅ
thin (minimum dimension),ől
broad (middle dimension),mȍ
narrow (middle dimension),ȕm
force (impose one's will to make something be true),rȁ
much (more; the subject exceeds the direct object by the amount),rűm
same (none; the subject equals the direct object numerically),mȅl
little (less; the subject is less than the direct object by the amount),leȅ
moral,re̋l
evil,le̋m
skillful,ra̋l
inept (unskillfulness),jőm
apt (fit a situation well),rűl
inapt (fail to fit a situation well),pől
effective,ma̋m
ineffective,rȅm
work (do work or be productive),pȍm
bright,pȅm
dim,lȅl
appear,pa̋m
disappear,lȍm
willing,pȍl
averse (to a task),rȍm
index (order in a list),ma̋l
old (length of time; applies to objects an events as well as people),pȁm
young (length of time; applies to objects and events as well as people),la̋m
track (follow a path),ra̋m
lead,rőm
find,pűl
misplace (lose an object),jȁm
after (+t),mȁm
before (-t),pȕl
low (-z),rȁm
high (+z),lűm
right (+x),la̋l
left (-x),ȕa̋
forward (+y),pűm
backward (-y),pőm
south,pȕm
north,pȁl
east,lȅm
west,lȁl
down (angle down from azimuth with indirect object being origin; distance down page),le̋l
up (angle up from antiazimuth with indirect object being origin; height on page),pȅl
port (clockwise from straight ahead with indirect object being origin),lőm
starboard (widdershins from straight ahead with indirect object being origin),alű
widdershins (angular orientation from the point of view of the direct object),lȁm
clockwise (angular orientation from the point of view of the direct object),lől
denote (mean in terms of word definitions),re̋m
next (to be next in an order),me̋m
persist,rȕl
quit (give up),je̋m
"attention-try (e.g. yell at the direct object or flash bright colors; see ""attention"")",lȍl
hide,jȅl
call (digital),pe̋m
related (by blood or familial ties),jȍm
spend-time (with someone),lȕl
through,rȅl
show,pa̋l
lively (be alive),moű
dead,lűl
change,rȁl
constancy (stay the same),pe̋l
clothed,me̋l
move (around but not necessarily with a direction),mȁl
jostle (move in place),őa̋
still,mől
between (between the direct and indirect objects),lȕm
among (among the object),je̋l
oblivious,jȅm
write (etch symbols into something; record something in a physical object; save a file),mȕl
"read (derive meaning from a physical object; load a file; contrast with ""active-read"", which means more specifically read text)",ja̋m
big,raȁ
small,olȕ
attempt (try),eȍm
undo,uȍm
succeed,mȍl
fail,mȅm
abandon,poő
assign,puȕ
own,rȕm
comprise,műl
point-gesture (point at something),ūe̋
help,ùa̋
hinder,ara̋
rescue,ōpe̋
meet,parȅ
greet,ūmű
goodbye-say,jema̋
initiate,péa̋
"timeliness (for meetings and such, or habitually)",ȕla̋
"tardiness (for meetings and such, or habitually)",rūȁ
activate,rume̋
music-make (an instrument),poje̋
include,malȕ
"originate (used to describe things coming ""from"")",jojű
transition (represents delta vector from indirect object to direct object),jaȕl
truth-tell,lumȅ
lie (deceive),őe̋m
goof (off),pèű
group (associate with one another),joa̋l
set (be in a discrete collection with a finite number of other entities),újȍ
surround,ālȕ
defend,rèȍ
seem,jaűl
repeat,ōmő
nice,pȁȁ
harsh (mean),joűm
polite,jée̋
rude,òjȅ
categorize (place something in a category; interpret something as belonging in a group),ajőm
systemize (place something in a system; interpret something as being part of a whole),meőm
keep,róő
obey,joȁl
contain,lèȍ
study (a subject),āmȍ
trail (a person or thing),ma̋ȁ
important,ērő
unimportant,luȕl
primary (refers to generally being main or central),èrő
fringe (refers to being secondary or minor),mùȍ
notorious,loȁl
walk,morȁ
run,ajȕm
"traverse (typically compounded to make things like ""swim"", ""climb"", ""gallop"", etc.)",ape̋l
rotate (about the direct object),peȕl
hand-off (exchange direct object via hands),ȕlű
fast (magnitude of time derivative of position),a̋lȕ
slow (unmagnitude of time derivative of position),pȁȍ
befriend (the state of being friends),jujȅ
open,őȅm
closed,úa̋l
govern,rùȅ
organize-oneself,lúȅ
"problem (to pose a challenge, but not necessarily in a bad way)",e̋jȅ
construct,lȕȅ
hold,alől
service,ȕmő
sell,jéa̋
buy,ȕmȅ
romantic-love,láȅ
platonic-love,éȁm
employ,lupȅ
plan,ojȅl
far (physical or numerical),éja̋
near (physical or numerical),àpe̋
example-pose,újȕ
wide (angular distance with indirect object being centrum),emȕl
acute (angular closeness with indirect object being centrum),rorȍ
business-open (can refer to activity in general),jȍű
business-closed (can refer to dormancy in general),pȍȁ
understand,màȅ
gratitude,űme̋
malice,èlȕ
hope,ārȍ
cost,lupű
outdoorsness,arőm
indoorsness,jue̋m
spaciousness,ree̋l
crampedness,jajȕ
reason,mòe̋
craze (act erratically or illogically; does not necessarily refer to mental illness),orȕm
level (general discrete measure of progress),lȍmȕ
experience,púlȁ
"sentience (I'm not going to try to define it here; I have a definition, but it cannot be put into words)",òpȕl
suffice (be enough),ōlȍl
expectation-exceed,mȕje̋
precipitate,jéme̋
gust (windiness),pe̋mű
smite (lightning strike),mèjȍ
support,úlȁm
gift,pa̋rő
"apply (the subject is a process, the direct object is something that undergoes that process)",ja̋a̋l
flail,répȕ
public (be exposed to others),òje̋m
private (be concealed or sheltered from the world),rùla̋
sector-public (be in the public sector),űlőm
sector-private (be in the private sector),pűűl
"frequent (rate at which something oscillates, progresses, or decays with respect to time)",ma̋rȁ
"periodic (inverse of rate at which something oscillates, progresses, or decays with respect to time)",lorȁm
common (inverse of time between events in a series of happenings),rőűl
uncommon (time between events in a series of happenings),me̋jȅ
shrill (high pitch),jȕmȁ
sonorous (low pitch),jèuű
unstable (diminished chord or scale),e̋lȁl
