eng,spa,source,otp
e; /e/; mid front unrounded vowel,,ono [e],'e
a; /a/; open central unrounded vowel,,ono [a],'a
o; /o/; mid back rounded vowel,,ono [o],'o
i; /i/; close front unrounded vowel,,ono [i],'i
u; /u/; close back rounded vowel,,ono [u],'u
y; /j/; palatal approximant,,ono [j],'yo
l; /l/; alveolar lateral approximant,,ono [l],'la
w; /w/; labial-velar approximant,,ono [w],'we
n; /n/; alveolar nasal,,ono [n],'na
m; /m/; labial nasal,,ono [m],'me
h; /h/; glottal fricative,,ono [h],'ho
c; /t͡ʃ/; post-alveolar affricate,,ono [t͡ʃ],'ca
s; /s/; alveolar fricative,,ono [s],'sa
f; /f/; labial fricative,,ono [f],'fe
k; /k/; velar plosive,,ono [k],'ko
t; /t/; alveolar plosive,,ono [t],'ta
p; /p/; bilabial plosive,,ono [p],'pe
The World Wide Web; The Internet; The Cloud {GENITIVE:Internet; cloud; cyber},,eng <Internet> [ˈɪntɚnɛt],'intanet
America; the Americas; the New World; the landmass {GENITIVE:American; from America},,spa <América> [aˈmeɾika],'amelika
Africa; the continent {GENITIVE:African; from Africa},swa <Afrika> [afrika],,'aflika
Australian; the Australian people {GENITIVE:Australian; from Australia|COUNTRY:Australia (country); the Commonwealth of Australia},,eng <Australia> [əˈstɹʷæɪ̯ljə],'ostwaylya
Eurasia; the continent {GENITIVE:Eurasian; from Eurasia},,rus <Евразия> [jɪˈvrazʲɪjə],'yewlasia
Abkhazian; Abkhaz; the Abkhazian people {GENITIVE:Abkhazian; Abkhaz; from Abkhazia|COUNTRY:Abkhazia|LANGUAGE:Abkhaz; Abkhazian; Abxaz; the Abkhaz language},,abk <Аҧсуа> [apʰswa],'apswa
Afghan; the Afgan people {GENITIVE:Afghan; from Afghanistan|COUNTRY:Afghanistan},,prs <افغانستان‬> [avɣɒn],'afhan
Albanian; the Albanian people {GENITIVE:Albanian; from Albania|COUNTRY:Albania|LANGUAGE:Albanian; the Albanian language},,alb <Shqip> [ʃcip],'ickip
American; the American people {GENITIVE:American; U.S.; from the U.S.|COUNTRY:United States of America; U.S.A.; America},,eng <America> [əˈmɛɹʷɪkə],'amewika
South African; the South African people {GENITIVE:South African; from South Africa|COUNTRY:South Africa},,xho <Mzansi> [m̩z̤ansi],'umsansi
Algerian; the Algerian people {GENITIVE:Algerian; from Algeria|COUNTRY:Algeria},,ara <الدزاير> [ald͡zaːjiːr],'alsayil
Andorran; the Andorran people {GENITIVE:Andorran; from Andorra|COUNTRY:Andorra},,cat <Andorra> [ənˈdorə],'antola
Angolan; the Angolan people {GENITIVE:Angolan; from Angola|COUNTRY:Angola},,por <Angola> [ɐ̃ˈɡɔlɐ],'ankola
Antiguan; Barbudan; the Antiguan and Barbudan people {GENITIVE:Antiguan; Barbudan; from Antigua and Barbuda|COUNTRY:Antigua and Barbuda},,eng <Antigua and Barbuda> [æntiːɡə ən bɑːbjuːdə],'antikapapyuta
Arab; the Arabian people {GENITIVE:Saudi; Saudi Arabian; Arabia; from Saudi Arabia|COUNTRY:Saudi Arabia|LANGUAGE:Arabic; the Arabic language|REGION:Arabia; the Arabian peninsula},,ara <عَرَب> [ˈʕarab],'alap
Argentinean; the Argentinean people {GENITIVE:Argentinean; Argentine; from Argentina|COUNTRY:Argentina},,spa <Argentina> [aɾxenˈtina],'alhentina
Armenian; the Armenian people {GENITIVE:Armenian; from Armenia|COUNTRY:Armenia|LANGUAGE:Armenian; the Armenian language},,hye <Հայք> [hɑjkʰ],'hayk
Austrian; the Austrian people {GENITIVE:Austrian; from Austria|COUNTRY:Austria},,deu <Österreich> [ˈøːstɐraɪç],'ostalayc
Azerbaijani; the Azerbaijani people {GENITIVE:Azerbaijani; from Azerbaijan|COUNTRY:Azerbaijan|LANGUAGE:Azerbaijani; the Azerbaijani language},,aze <Azərbaycan> [ɑːzæɾbɑjˈd͡ʒɑn],'asalpaycan
Bahamian; the Bahamian people {GENITIVE:Bahamian; from the Bahamas|COUNTRY:The Bahamas},,eng <Bahama> [bəˈhɑːmə],'pahama
Bahraini; the Bahraini people {GENITIVE:Bahraini; from Bahrain|COUNTRY:Bahrain},,ara <بحرين‎> [baħrajn],'pahlayn
Bandanese; the Bandanese people {GENITIVE:Bandanese; from the Banda islands},,msa <Banda> [banda],'panta
Bangladeshi; the Bangladeshi people {GENITIVE:Bangladeshi; from Bangladesh|COUNTRY:Bangladesh|REGION:Bengal|LANGUAGE:Bengali; Bangla; the Bengali language},,ben <বাংলা> [ˈbaŋla],'panla
Barbadian; Bajan; the Barbadian people {GENITIVE:Barbadian; from Barbados|COUNTRY:Barbados|LANGUAGE:Bajan Creole},,bjs <Barbados> [bɑːɹˈbeɪ̯dɒs],'papeytos
Belarusian; the Belarusian people {GENITIVE:Belarusian; from Belarus|COUNTRY:Belarus|LANGUAGE:Belarusian},,bel <Biełaruś> [bʲɛlarusʲ],'pyelalus
Belgian; the Belgian people {GENITIVE:Belgian; from Belgium|COUNTRY:Belgium},,nld <België> [bɛlɣiə],'pelkia
Belizean; the Belizean people; the country {GENITIVE:Belizean; from Belize|COUNTRY:Belize},,eng <Belize> [bəˈliːz],'pelis
Beninese; the Beninese people; the country {GENITIVE:Beninese; Beninois; from Benin|COUNTRY:Benin},,fra <Bénin> [benɛ̃],'penen
Bhutanese; the Bhutanese people {GENITIVE:Bhutanese; from Bhutan|COUNTRY:Bhutan|LANGUAGE:Dzongkha},,dzo <འབྲུག> [ɦdruɡ],'hutluk
Bolivian; the Bolivian people; {GENITIVE:Bolivian; from Bolivia|COUNTRY:Bolivia},,spa <Bolivia> [boˈliβja],'polipya
Bosnia and Herzegovina; the country {GENITIVE:Bosnian; from Bosnia and Herzegovina},,hrv <Bosna> [bosna],'posna
Batswana; the Tswana people {GENITIVE:Botswanan; from Botswana|COUNTRY:Botswana|LANGUAGE:Setswana; the Tswana language},,tsn <tswana> [t͡swana],'swana
Brazilian; the Brazilian people {GENITIVE:Brazilian; from Brazil|COUNTRY:Brazil},,por <Brasil> [bɾaˈziw],'palasiw
Briton; Brit; the Brittish people {GENITIVE:British; UK; from the United Kingdom|COUNTRY:Brittan; the UK; the United Kingdom of Great Brittan and Northern Ireland},,eng <Briton> [ˈbɹʷɪʔən],'pwiton
Bruneian; the Bruneian people {GENITIVE:Bruneian; from Brunei|COUNTRY:Brunei|LANGUAGE:Brunei Malay},,kxd <بروني> [brunai],'palunai
Bulgarian; the Bulgarian people {GENITIVE:Bulgarian; from Bulgaria|COUNTRY:Bulgaria|LANGUAGE:Bulgarian; the Bulgarian language},,bul <Българ> [bɐɫˈɡar],'palkal
Burkinabé; the Burkinabé people {GENITIVE:Burkinabé; Burkinabè; from Burkina Faso|COUNTRY:Burkina Faso},,fra <Burkina> [buʁkina],'puhkinafaso
Burundian; the Rundi people {GENITIVE:Burundian; from Burundi|COUNTRY:Burundi|LANGUAGE:Kirundi; Rundi; the Rundi language},,run <Rundi> [ˈɾundi],'lunti
Khmer; Cambodian; the Khmer people {GENITIVE:Khmer; Cambodian; from Cambodia|COUNTRY:Cambodia|LANGUAGE:Khmer; Cambodian; the Khmer language},,khm <ខ្មែរ> [kʰmae],'kamae
Cameroonian; the Cameroonian people {GENITIVE:Cameroonian; from Cameroon|COUNTRY:Cameroon},,fra <Cameroun> [kamʁun],'kamhun
Canadaian; the Canadian people {GENITIVE:Canadian; from Canada|COUNTRY:Canada},,eng <Canada> [ˈkænədə],'kanata
Cabo Verdean; Cape Verdean; the Cabo Verdean people {GENITIVE:Cabo Verdean; Cape Verdean; from Cabo Verde|COUNTRY:Cabo Verde; Cape Verde},,por <Cabo Verde> [kaβu veɾðɨ],'kapufelti
Island Carib; the Carib people; the Kalinago people {GENITIVE:Island Carib; Carib|LANGUAGE:Island Carib; Igneri},,crb <Kalinago> [kalinaɡo],'kalinako
Castillian; the Castillian people {GENITIVE:Castillian; from Castile|COUNTRY:Castile|LANGUAGE:Castillian; the Castillian language|REGION:Castile (region)},,spa <Castellano> [kasˈtiʎa],'kastilya
Central African; the Central African people {GENITIVE:Central African; from the Central African Republic|COUNTRY:Central African Republic},,fra <Centrafrique> [sɑ̃tʁafʁik],'sanhafhik
Chadian; the Chadian people {GENITIVE:Chadian; from Chad|COUNTRY:Chad},,fra <Tshad> [tʃad],'cat
Chewa; Nyanja; Nyasa; the Chewa people {GENITIVE:Chewa; Malawian; from Malawi|COUNTRY:Malawi|LANGUAGE:Chichewa; Chinyanja},,nya <Chewa> [t͡ʃewa],'cewa
Chilean; the Chilean people {GENITIVE:Chilean; from Chile|COUNTRY:Chile},,spa <Chile> [ˈt͡ʃile],'cile
Chinese; the Chinese people {GENITIVE:Chinese; from China|COUNTRY:China|LANGUAGE:Chinese; the Chinese macrolanguage},,cmn <中> [ʈ͡ʂʊŋ˥],'cun
Colombian; the Columbian people {GENITIVE:Columbian; from Colombia|COUNTRY:Columbia},,spa <Colombia> [koˈlombja],'kolompya
