eng,cst,source
"0; zero (CARDINAL:zero; zero of|ORDINAL:zeroth)",lin,cmn liŋ˧˥
"1; one",kan,yor okan
"2; two",hal,cmn ɤ˞˥˩
"3; three",tin,mar tiːnə
"4; four",cal,hin tɕʰaɾ
"5; five",fif,eng faɪ̯v
"6; six",mef,yor mefa
"7; seven",saf,swa saba
"8; eight",pah,cmn pa˥
"9; nine",nof,spa ˈnweβe
"A; 10; ten; only used for duodecimal and hexadecimal",kum,nya kʰu˨mi˨
"B; 11; eleven; only used for duodecimal and hexadecimal",kah,hin gjɔɾəɦ
"C; 12; dozen; only used for hexadecimal",pol,ben bɔro
"D; 13; baker's dozen; only used for hexadecimal",tel,pan t̪eːɾɑːŋ
"E; 14; fourteen; only used for hexadecimal",tol,spa kaˈtoɾse
"F; 15; fifteen; only used for hexadecimal",kin,spa ˈkinse
"G; 16; only used to describe hexadecimal",sol,ben sʰolo
"much; many",,
"several; some; few; handful; medium; (1, radix]",,
"little; few (CARDINAL:a little bit; a few; a few of)",,opposite of ""much""
"all; absolute; maximum",tun,opposite of ""zero""
"point; radix point",pojn,eng pʰoɪ̯nt
"×10^ (or ×12^, or whatever depending on the radix)",hiljon,
"radix",,
"-; minus; negative",,
"over; division; fraction",,
