eng,spa,source,otp
be absent; be gone; be away; be weak; OBJ is absent,,NEGATIVE OF be present,lyotkwekinyo
summon; bring forth; pull up; place; SBJ summons OBJ,,INCOHATIVE OF be present,lyotkwekiki
dispose; throw away; get rid; get away; remove; leave; SBJ disposes of OBJ {trash; garbage},,CESSATIVE OF be present,lyotkwekinu
continue; be happening; keep; stay; be in progress; undergo; maintain; preserve; _progressive_; SBJ {maintainer} makes OBJ hold true for some time {TIME:equilibrium},,pan <ਚਾਲੂ> [t͡ʃɑˈlu],calu
change; be in flux; switch; SBJ {bringer of change} changes OBJ somehow {INSTRUMENT:switch},,NEGATIVE OF continue,calunyo
repeat; do again; return to; SBJ makes OBJ happen multiple times,,sot <pheta> [pʰetʼɑ],peta
reverse; do back; return from; SBJ makes OBJ happen in reverse after having happened,,REVERSAL OF repeat,mola
be possible; can; might; may; _possibility_; OBJ {possibility} can happen,,epo <povi> [ˈpovi],powi
enable; SBJ makes OBJ become possible,,INCOHATIVE OF be possible,powiki
prevent; SBJ makes OBJ stop being possible,,CESSATIVE OF be possible,powinu
be usable; be practical; OBJ is usable,,POSSIBILITY OF use,luatkwekipowi
be impractical; be unusable; OBJ is not usable,,NEGATIVE OF be usable,luatkwekipowinyo
be stable; be sustainable; OBJ can continue without changing,,POSSIBILITY OF continue,calupowi
be unstable; be unsustainable; OBJ cannot continue forever,,NEGATIVE OF be stable,calupowinyo
be ready; OBJ is ready to make IND happen,,POSSIBILITY OF begin,kipowi
ready; prepare; SBJ gets OBJ ready for IND,,INCOHATIVE OF be ready,kipowiki
try; attempt; will; intend; attempt; do for; do so; do in order to; SBJ {purposeful; intentful} makes OBJ {means} happen in order to make IND {purpose; reason; goal; end; intention; beneficiary} happen,,cmn <试> [ʂɨ˥˩],ci
give up; quit; stop trying; SBJ {quitter} stops trying to make IND happen by doing OBJ,,CESSATIVE OF try,cinu
want; like; beI good; desire; favour; beI appealing; beI pleasing; hunger; have an appetite; hope; beI beautiful; be positive; OBJ {liker; optimist; hoper; wanter; desirous; hungry; -phile} has positive inclinations toward IND {desire; wish; hope; preference; favourite} {AMOUNT:value; goodness; preference level|LOCATION:heaven|METHOD:style; stylisation},,yor <fẹ́> [fɛ́],fe
dislike; be averse; beI bad; disfavour; be unappealing; be displeasing; want not; beI ugly; beI gross; be negative; OBJ {pessimist; -phobe} has negative inclinations toward IND {unfavourable; anathema; least favourite} {LOCATION:hell|AMOUNT:cost},,ANTONYM OF want,so
